epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.767,0.61411,3.5403,1.27932,0.52023,0.58802,0.58461,0.5057,0.56883,1.60724,1.22243,8.1179e-05,8.1179e-05,8.1179e-05
2,395.689,0.53049,1.67366,1.20022,0.73446,0.73702,0.7871,0.68199,0.55008,1.13238,1.17795,0.000154468,0.000154468,0.000154468
3,580.355,0.48744,1.19771,1.15677,0.82534,0.8461,0.87296,0.791,0.45739,0.7793,1.05504,0.000219705,0.000219705,0.000219705
4,766.374,0.46831,1.02139,1.14114,0.82691,0.84146,0.88208,0.80142,0.44758,0.77638,1.03555,0.000207766,0.000207766,0.000207766
5,954.033,0.45094,0.92239,1.12724,0.87071,0.89115,0.90732,0.83252,0.42457,0.61465,1.00255,0.000195688,0.000195688,0.000195688
6,1141.27,0.43989,0.8543,1.11936,0.88129,0.88432,0.91234,0.84316,0.41103,0.61379,0.98984,0.00018361,0.00018361,0.00018361
7,1330.62,0.42987,0.80075,1.11045,0.90086,0.90193,0.92374,0.8528,0.40278,0.55177,0.9785,0.000171532,0.000171532,0.000171532
8,1517.29,0.42149,0.7595,1.10371,0.89952,0.9017,0.92648,0.8677,0.38127,0.52523,0.95526,0.000159454,0.000159454,0.000159454
9,1704.87,0.41441,0.72549,1.10132,0.90795,0.91597,0.92842,0.86945,0.36523,0.50149,0.93733,0.000147376,0.000147376,0.000147376
10,1893.85,0.40536,0.69367,1.09217,0.92419,0.91024,0.93376,0.87769,0.36113,0.47484,0.92642,0.000135298,0.000135298,0.000135298
